               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,             mdice_c,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10635,             0.01557,            0.059228,             0.57554,            0.032728,              0.1815,            0.022801,           0.0061551,            0.080621,            0.011773,            0.043107,           0.0033255,           0.0033255,            0.070071
                   1,            0.074143,             0.01656,            0.040572,             0.64075,             0.59143,             0.27555,             0.22071,            0.047959,            0.066385,           0.0098097,            0.028207,           0.0066573,           0.0066573,            0.040069
                   2,            0.070404,            0.013224,            0.027948,             0.69431,             0.48095,             0.28749,             0.24621,            0.071693,            0.065947,           0.0081043,             0.02425,           0.0099833,           0.0099833,            0.010062
                   3,            0.069822,            0.010521,             0.02095,             0.71997,             0.64102,             0.42515,             0.38543,             0.11398,            0.059892,           0.0077364,            0.020083,             0.00998,             0.00998,             0.00998
                   4,            0.063604,            0.009824,             0.01519,             0.72092,             0.52697,             0.71042,             0.62958,              0.2591,            0.052438,           0.0061686,           0.0094821,             0.00998,             0.00998,             0.00998
                   5,            0.058985,           0.0091921,            0.011661,             0.72703,             0.69411,             0.53842,             0.56669,             0.23524,              0.0548,           0.0070935,             0.01069,           0.0099645,           0.0099645,           0.0099645
                   6,            0.057551,           0.0086619,           0.0099198,              0.7481,             0.51461,             0.68053,             0.64618,             0.25251,            0.049457,           0.0054483,           0.0062151,           0.0099446,           0.0099446,           0.0099446
                   7,            0.053373,           0.0086502,           0.0076929,             0.74943,             0.62908,             0.76565,              0.6991,             0.28909,             0.04899,           0.0053771,           0.0048575,           0.0099203,           0.0099203,           0.0099203
                   8,             0.05192,           0.0081645,           0.0069247,             0.74308,             0.76421,             0.79483,             0.80372,             0.32013,            0.047711,            0.004852,           0.0036076,           0.0098916,           0.0098916,           0.0098916
                   9,            0.050555,           0.0084016,           0.0073254,             0.79957,             0.89063,             0.73506,             0.81593,             0.34244,            0.042816,           0.0051157,           0.0037797,           0.0098586,           0.0098586,           0.0098586
                  10,            0.048408,           0.0077487,           0.0057655,             0.80538,             0.72976,              0.8319,             0.82335,             0.36151,            0.041968,           0.0046573,            0.004155,           0.0098213,           0.0098213,           0.0098213
                  11,            0.048527,           0.0082606,           0.0069983,             0.81324,             0.74265,             0.83566,             0.82973,             0.39632,            0.040811,           0.0054339,           0.0034522,           0.0097798,           0.0097798,           0.0097798
                  12,            0.048638,           0.0080917,           0.0063975,             0.82565,             0.80949,             0.79951,             0.83916,             0.41414,            0.038314,           0.0045748,           0.0032984,            0.009734,            0.009734,            0.009734
                  13,            0.047796,           0.0079649,           0.0054364,             0.79355,             0.80543,             0.81304,             0.84188,             0.39418,            0.041673,           0.0054263,           0.0039113,            0.009684,            0.009684,            0.009684
                  14,            0.047521,            0.008018,           0.0058436,             0.82608,             0.74471,             0.85817,             0.85867,              0.4204,            0.038315,           0.0046508,           0.0027798,           0.0096299,           0.0096299,           0.0096299
                  15,            0.045253,           0.0076967,           0.0075767,              0.8165,             0.75627,             0.87018,              0.8337,             0.38531,            0.039849,           0.0049311,           0.0046179,           0.0095717,           0.0095717,           0.0095717
                  16,            0.046041,           0.0077167,            0.005073,             0.80585,             0.70009,             0.83334,             0.82368,             0.38627,            0.040342,           0.0052531,            0.003365,           0.0095095,           0.0095095,           0.0095095
                  17,            0.044454,           0.0075402,           0.0049499,              0.8231,             0.81951,             0.82401,             0.84824,             0.40954,            0.038101,           0.0048857,           0.0023329,           0.0094434,           0.0094434,           0.0094434
                  18,            0.043525,           0.0076209,           0.0038999,             0.85256,             0.92744,             0.84736,             0.92026,             0.50426,            0.033899,           0.0048576,           0.0025236,           0.0093733,           0.0093733,           0.0093733
                  19,            0.042111,           0.0071915,           0.0043422,             0.84265,             0.81564,             0.85307,              0.8878,               0.464,            0.034737,           0.0045526,           0.0026994,           0.0092995,           0.0092995,           0.0092995
                  20,            0.042862,           0.0068299,           0.0037311,             0.85431,             0.85576,             0.87199,             0.89569,             0.46983,             0.03365,           0.0042846,           0.0021684,           0.0092219,           0.0092219,           0.0092219
                  21,            0.041746,           0.0074894,           0.0033033,             0.86462,             0.85605,             0.95366,             0.94098,             0.51692,             0.03329,           0.0042423,           0.0021627,           0.0091406,           0.0091406,           0.0091406
                  22,            0.042013,           0.0071102,           0.0035535,             0.85672,             0.90337,             0.88623,             0.94316,             0.51556,            0.033709,           0.0042141,            0.002161,           0.0090557,           0.0090557,           0.0090557
                  23,            0.040067,           0.0069506,           0.0031551,             0.86946,             0.89383,             0.91911,             0.94546,             0.52371,            0.031991,           0.0040267,           0.0026918,           0.0089673,           0.0089673,           0.0089673
                  24,             0.03997,           0.0068856,           0.0035542,              0.8532,             0.88217,             0.92028,             0.92958,             0.49838,            0.033787,           0.0042762,            0.002345,           0.0088755,           0.0088755,           0.0088755
                  25,             0.04018,           0.0069271,           0.0029452,             0.84202,             0.78977,             0.93183,             0.93927,             0.50514,            0.034749,            0.004026,            0.001739,           0.0087804,           0.0087804,           0.0087804
                  26,            0.040093,           0.0065959,           0.0031687,             0.83454,               0.849,              0.9124,             0.90085,              0.5002,              0.0338,           0.0040154,           0.0019219,            0.008682,            0.008682,            0.008682
                  27,            0.039636,           0.0069819,           0.0031321,             0.83995,             0.85562,             0.89621,             0.92821,             0.48748,            0.034328,           0.0039845,           0.0019693,           0.0085805,           0.0085805,           0.0085805
                  28,            0.038574,           0.0066851,           0.0026415,             0.87448,             0.93448,             0.90524,             0.94767,             0.51732,            0.031297,           0.0038496,           0.0018448,           0.0084759,           0.0084759,           0.0084759
                  29,            0.038648,           0.0066258,           0.0023423,             0.85719,             0.88366,             0.92755,             0.93707,             0.53206,            0.032261,            0.003958,           0.0015487,           0.0083684,           0.0083684,           0.0083684
                  30,            0.038328,           0.0066513,           0.0025262,             0.86645,             0.84691,             0.92286,             0.94275,             0.53353,            0.031686,           0.0038852,           0.0019154,           0.0082581,           0.0082581,           0.0082581
                  31,            0.038642,           0.0066382,           0.0027798,             0.87316,             0.91603,             0.96464,             0.94624,             0.53847,            0.030859,           0.0038975,           0.0024122,            0.008145,            0.008145,            0.008145
                  32,            0.037716,           0.0068484,           0.0027075,              0.8671,             0.85864,             0.94019,             0.92884,              0.5312,            0.031599,           0.0037584,            0.001521,           0.0080294,           0.0080294,           0.0080294
                  33,            0.037818,           0.0064759,           0.0024793,             0.87128,             0.92741,             0.94827,              0.9633,             0.57646,             0.03118,           0.0039203,           0.0017695,           0.0079112,           0.0079112,           0.0079112
                  34,            0.037068,           0.0064184,           0.0020263,             0.87439,             0.94016,             0.95076,             0.98096,             0.54802,            0.031253,           0.0038166,           0.0014187,           0.0077907,           0.0077907,           0.0077907
                  35,             0.03675,           0.0066854,            0.001952,             0.87352,             0.92339,             0.93867,             0.96232,             0.55449,            0.030385,           0.0036157,           0.0014794,           0.0076679,           0.0076679,           0.0076679
                  36,            0.036245,           0.0063323,           0.0025289,             0.87377,              0.8595,             0.95629,             0.94735,             0.54564,            0.030817,           0.0037827,           0.0014443,            0.007543,            0.007543,            0.007543
                  37,            0.036053,           0.0062895,           0.0020681,             0.87844,             0.92787,             0.92942,             0.95756,             0.54154,            0.030546,           0.0036036,            0.001524,            0.007416,            0.007416,            0.007416
                  38,            0.035259,           0.0062728,           0.0019231,             0.88008,             0.94788,             0.94944,             0.96748,             0.57932,            0.029308,           0.0036025,           0.0013629,           0.0072872,           0.0072872,           0.0072872
                  39,            0.035124,           0.0063237,           0.0020853,             0.88857,             0.92873,             0.94638,             0.96341,             0.56931,            0.028497,           0.0035077,            0.001454,           0.0071566,           0.0071566,           0.0071566
                  40,            0.035523,            0.006457,           0.0018349,             0.89196,             0.95683,             0.95413,             0.97105,             0.57184,            0.028365,           0.0036961,           0.0013177,           0.0070243,           0.0070243,           0.0070243
